epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3683.95,0.83238,1.4913,0.69564,1.09855,0.75655,0.60254,0.7041,0.45049,0.77909,0.59672,0.70826,0.41662,1.21516,2.34832,1.16803,1.4844,0.000742815,0.000742815,0.000742815
30,3802.96,0.82112,1.44108,0.69334,1.07576,0.77405,0.72136,0.73772,0.49155,0.76328,0.70801,0.71983,0.44495,1.14912,1.94544,1.05481,1.37499,0.000709809,0.000709809,0.000709809
31,3921.88,0.79325,1.44172,0.66134,1.07492,0.7458,0.69744,0.73525,0.50758,0.74272,0.69259,0.72723,0.44654,1.08937,1.75284,1.12984,1.36309,0.000676802,0.000676802,0.000676802
32,4042.49,0.79303,1.43388,0.66708,1.06348,0.70971,0.63467,0.70397,0.49667,0.69096,0.61655,0.67744,0.43312,1.06387,1.70626,1.09249,1.31183,0.000643795,0.000643795,0.000643795
33,4163.36,0.76684,1.45286,0.6383,1.04806,0.69974,0.6724,0.71694,0.51533,0.67277,0.64506,0.68326,0.45241,0.98033,1.70782,1.02358,1.26142,0.000610789,0.000610789,0.000610789
34,4283.94,0.77685,1.4207,0.65584,1.06751,0.70833,0.72041,0.75714,0.53281,0.69814,0.70946,0.74129,0.4947,0.96971,1.70474,1.00296,1.23552,0.000577782,0.000577782,0.000577782
35,4405.61,0.7531,1.37607,0.62114,1.04164,0.74872,0.75421,0.79774,0.56591,0.7467,0.74147,0.78777,0.5194,0.91498,1.67463,0.90155,1.20814,0.000544776,0.000544776,0.000544776
36,4526.71,0.75321,1.35034,0.62636,1.07106,0.82546,0.69951,0.81574,0.57157,0.80459,0.69465,0.79571,0.53649,0.93463,1.73216,0.80704,1.2379,0.000511769,0.000511769,0.000511769
37,4647.38,0.73741,1.37527,0.59994,1.03316,0.81928,0.73975,0.80768,0.56586,0.80638,0.72701,0.79167,0.52782,0.91105,1.72259,0.82024,1.2398,0.000478762,0.000478762,0.000478762
38,4767.73,0.73443,1.38248,0.63106,1.06627,0.80385,0.76337,0.82442,0.56363,0.84135,0.7488,0.82011,0.53504,0.95191,1.67745,0.82092,1.26906,0.000445756,0.000445756,0.000445756
39,4887.3,0.69497,1.32124,0.54859,1.01579,0.81864,0.7288,0.80799,0.53553,0.81079,0.7215,0.79336,0.49805,1.00605,1.75606,0.84771,1.32263,0.000412749,0.000412749,0.000412749
40,5007.02,0.74093,1.35424,0.61842,1.04899,0.8256,0.71792,0.8027,0.55237,0.81488,0.71427,0.79879,0.51582,0.95165,1.68467,0.81635,1.26122,0.000379743,0.000379743,0.000379743
41,5127.47,0.69233,1.24767,0.62029,1.0316,0.79596,0.69788,0.79323,0.55308,0.79196,0.69423,0.78434,0.51048,0.9627,1.67206,0.81894,1.26557,0.000346736,0.000346736,0.000346736
42,5245.65,0.67014,1.26394,0.57862,1.00796,0.74236,0.70514,0.77577,0.54103,0.70847,0.74131,0.76167,0.50729,0.9436,1.68647,0.85093,1.25549,0.000313729,0.000313729,0.000313729
43,5363.83,0.66687,1.23836,0.56747,1.02803,0.724,0.71413,0.77556,0.55269,0.71988,0.71048,0.76534,0.51412,0.93177,1.65634,0.82041,1.24822,0.000280723,0.000280723,0.000280723
44,5482.02,0.64219,1.15961,0.51718,1.00131,0.70544,0.74455,0.78632,0.56522,0.70978,0.74707,0.78102,0.53562,0.89848,1.57188,0.79011,1.22439,0.000247716,0.000247716,0.000247716
45,5599.25,0.62077,1.11562,0.49961,0.9846,0.67768,0.77605,0.79758,0.5779,0.67768,0.77605,0.78947,0.5466,0.89069,1.56056,0.78365,1.21667,0.00021471,0.00021471,0.00021471
46,5716.85,0.62045,1.10423,0.52077,1.0108,0.79824,0.70125,0.81565,0.59341,0.7823,0.68666,0.80484,0.57125,0.88091,1.56457,0.74609,1.20671,0.000181703,0.000181703,0.000181703
47,5833.85,0.61149,1.1959,0.49686,0.98051,0.83215,0.70798,0.81983,0.59499,0.82814,0.70433,0.81603,0.56821,0.87918,1.55553,0.74348,1.20102,0.000148696,0.000148696,0.000148696
48,5951.43,0.60676,1.13033,0.49466,0.99578,0.80562,0.72908,0.81282,0.5924,0.80183,0.72543,0.80655,0.55919,0.87956,1.54709,0.754,1.20085,0.00011569,0.00011569,0.00011569
49,6068.4,0.59619,1.09591,0.4501,0.98569,0.79217,0.72296,0.81191,0.58997,0.78835,0.71931,0.80717,0.56206,0.88066,1.5362,0.75991,1.19988,8.26832e-05,8.26832e-05,8.26832e-05
50,6185.03,0.62034,1.10499,0.48484,1.0034,0.77018,0.75063,0.81128,0.59225,0.77018,0.75063,0.80703,0.56209,0.8796,1.52475,0.74634,1.20075,4.96766e-05,4.96766e-05,4.96766e-05
