epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3491.9,0.7977,1.36118,0.72471,1.10625,0.75776,0.80292,0.82835,0.61633,0.77544,0.80659,0.8529,0.62092,0.87613,1.46868,0.95496,1.28019,0.000742815,0.000742815,0.000742815
30,3612.93,0.7679,1.28231,0.70418,1.07734,0.76528,0.72993,0.81789,0.59217,0.76528,0.72993,0.81563,0.57801,0.91654,1.76248,0.95668,1.30719,0.000709809,0.000709809,0.000709809
31,3732.76,0.72252,1.30014,0.64457,1.05636,0.78382,0.86131,0.86357,0.61224,0.78879,0.86861,0.86682,0.59582,0.87977,1.58051,0.93424,1.25698,0.000676802,0.000676802,0.000676802
32,3852.83,0.7296,1.26638,0.62982,1.05672,0.80521,0.84672,0.8622,0.64829,0.81338,0.83212,0.86373,0.62774,0.84093,1.4484,0.8187,1.21548,0.000643795,0.000643795,0.000643795
33,3972.39,0.71341,1.27842,0.61162,1.06358,0.86263,0.77372,0.87245,0.65014,0.85286,0.76642,0.86531,0.63596,0.86243,1.45333,0.82528,1.22658,0.000610789,0.000610789,0.000610789
34,4091.59,0.7368,1.21078,0.62071,1.05333,0.82952,0.78832,0.86499,0.68781,0.82952,0.78832,0.85822,0.64714,0.79215,1.42805,0.75989,1.172,0.000577782,0.000577782,0.000577782
35,4209.87,0.73261,1.17631,0.60886,1.06718,0.82246,0.84534,0.83757,0.66982,0.87842,0.7911,0.85428,0.66022,0.81735,1.34538,0.77867,1.19644,0.000544776,0.000544776,0.000544776
36,4329.87,0.6953,1.1948,0.64512,1.05624,0.87928,0.80292,0.8491,0.6604,0.87928,0.80292,0.84428,0.64053,0.78618,1.23554,0.75481,1.21151,0.000511769,0.000511769,0.000511769
37,4449.37,0.6759,1.18851,0.5998,1.02203,0.83743,0.82724,0.85465,0.67191,0.84474,0.83403,0.85605,0.65249,0.80504,1.23911,0.74358,1.23215,0.000478762,0.000478762,0.000478762
38,4568.96,0.68905,1.21342,0.62488,1.05333,0.81862,0.84672,0.86122,0.6747,0.83322,0.86131,0.87041,0.65413,0.79539,1.31789,0.7588,1.21972,0.000445756,0.000445756,0.000445756
39,4689.19,0.66449,1.14742,0.54714,1.02034,0.83204,0.82482,0.85283,0.62417,0.84685,0.80727,0.84441,0.62664,0.83489,1.33667,0.81924,1.25214,0.000412749,0.000412749,0.000412749
