epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43883,1.60283,3.90494,3.30144,1.63389,0.22673,0.39066,0.26339,0.1825,0.23396,0.25385,0.24408,0.14137,1.19695,3.0641,4.95599,1.37724,0.00020004,0.00020004,0.00020004
2,7.04213,1.13295,2.44415,1.7526,1.21707,0.42452,0.45065,0.42502,0.27456,0.48545,0.36084,0.37031,0.20842,1.24505,3.73326,1.99162,1.49367,0.000412624,0.000412624,0.000412624
3,9.69302,1.0535,2.03639,1.37241,1.15966,0.32467,0.27452,0.28869,0.19456,0.31396,0.2451,0.259,0.14616,1.33818,3.73737,3.18333,1.59289,0.000620917,0.000620917,0.000620917
4,12.2336,1.11479,2.13391,1.32906,1.21397,0.28507,0.43361,0.30077,0.17209,0.29187,0.37713,0.26629,0.14019,1.59745,4.67518,3.06503,1.83757,0.00082492,0.00082492,0.00082492
5,14.8025,1.08232,2.156,1.1963,1.18836,0.32197,0.23392,0.17002,0.07759,0.27794,0.19926,0.13173,0.05692,1.88665,6.78051,2.60234,2.04227,0.00102463,0.00102463,0.00102463
6,17.3249,1.14791,2.23497,1.219,1.26582,0.21741,0.20256,0.21097,0.11881,0.23054,0.20513,0.18849,0.09269,1.79656,4.53734,3.39366,2.02368,0.00122005,0.00122005,0.00122005
7,19.8172,1.11334,2.07557,1.17129,1.23414,0.19644,0.43435,0.24937,0.13058,0.19756,0.38592,0.21624,0.0913,1.60362,3.98039,4.34165,2.20678,0.00141118,0.00141118,0.00141118
8,22.3121,1.14457,2.09941,1.10622,1.22956,0.28659,0.44222,0.29235,0.15497,0.24367,0.37123,0.19801,0.08145,1.68491,4.21405,4.5565,2.17961,0.00155148,0.00155148,0.00155148
9,24.7522,1.09389,2.05226,1.10601,1.18267,0.40159,0.45926,0.39217,0.22664,0.38734,0.44643,0.36526,0.17794,1.41866,3.15989,3.8024,1.67218,0.00153497,0.00153497,0.00153497
10,27.0866,1.12178,1.90947,1.09627,1.18692,0.46973,0.50025,0.42421,0.25499,0.47007,0.4968,0.424,0.21319,1.43145,3.49456,2.62734,1.75226,0.00151847,0.00151847,0.00151847
11,29.4719,1.11096,1.94542,1.06255,1.19906,0.4658,0.52771,0.44532,0.28252,0.43515,0.44896,0.36944,0.20476,1.29759,3.96655,2.51601,1.5894,0.00150197,0.00150197,0.00150197
