epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95449,1.36569,3.31882,3.09201,1.55531,0.24687,0.38567,0.21413,0.12985,0.24206,0.36116,0.20029,0.10364,1.23748,3.92425,6.70154,1.49392,0.00020004,0.00020004,0.00020004
2,13.2895,1.07352,2.39544,1.66528,1.2553,0.16435,0.31654,0.13196,0.06584,0.10494,0.2653,0.06351,0.02116,1.67646,13.6047,8.12809,2.14253,0.000412624,0.000412624,0.000412624
3,19.8763,1.08675,2.30985,1.37773,1.28154,0.02684,0.08985,0.00795,0.00285,0.00012,0.00685,2e-05,1e-05,3.99072,nan,inf,246.463,0.000620917,0.000620917,0.000620917
4,26.4284,1.16984,2.24388,1.39075,1.3651,0.00376,0.15128,0.00272,0.0009,0,0,0,0,nan,nan,nan,nan,0.00082492,0.00082492,0.00082492
5,32.9364,1.18166,2.24656,1.32763,1.378,0.00385,0.10091,0.00228,0.00078,0.00126,0.02308,0.00068,0.00012,nan,nan,nan,nan,0.00102463,0.00102463,0.00102463
6,39.4432,1.22161,2.27918,1.23635,1.3813,0.0065,0.16846,0.00387,0.00141,0.00022,0.00513,8e-05,3e-05,nan,nan,nan,nan,0.00122005,0.00122005,0.00122005
7,45.9159,1.22803,2.34103,1.2744,1.35493,0.03486,0.27784,0.02849,0.0121,0.0138,0.18303,0.00664,0.00246,2.16094,29.9698,inf,3.68799,0.00141118,0.00141118,0.00141118
8,52.3557,1.20961,2.31694,1.2629,1.37346,0.01678,0.07949,0.00814,0.00279,0.0096,0.04359,0.00331,0.00086,nan,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,58.9139,1.18197,2.21678,1.24152,1.31254,0.01963,0.04194,0.00295,0.00144,0.01285,0.00513,0.00154,0.00028,3.45012,64.0984,inf,8.17865,0.00153497,0.00153497,0.00153497
10,65.4091,1.13026,2.20403,1.23388,1.3272,0.01066,0.36863,0.00811,0.00343,0.0079,0.25999,0.00573,0.00176,3.03551,nan,nan,3.61983,0.00151847,0.00151847,0.00151847
11,71.9255,1.05661,1.94101,1.0302,1.26775,0.01382,0.21739,0.00801,0.00334,0.01271,0.08728,0.00491,0.0019,2.92648,64.5321,20.6596,3.50107,0.00150197,0.00150197,0.00150197
12,78.5243,1.08529,2.01093,1.10871,1.26981,0.17672,0.46523,0.13593,0.07407,0.17429,0.43176,0.12802,0.06083,1.57608,5.19618,13.7125,2.38681,0.00148546,0.00148546,0.00148546
13,85.0563,1.11562,2.02732,1.07777,1.29546,0.06294,0.41142,0.05472,0.02139,0.04579,0.31995,0.02619,0.00955,2.3455,38.1869,9.73017,2.823,0.00146896,0.00146896,0.00146896
