epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,90.6022,0.84358,1.47733,0.73151,1.04909,0.59118,0.59013,0.6119,0.42068,0.5451,0.54563,0.54078,0.31974,1.06108,2.42766,1.21316,1.25065,0.00120491,0.00120491,0.00120491
30,93.6701,0.817,1.46273,0.71824,1.03263,0.60691,0.61975,0.63694,0.46655,0.57941,0.63872,0.5969,0.36534,1.03004,2.33929,1.15295,1.20631,0.0011884,0.0011884,0.0011884
31,96.7178,0.83634,1.4728,0.72438,1.04885,0.63474,0.62266,0.63268,0.46558,0.63755,0.6229,0.60742,0.37689,1.01822,2.17306,1.10252,1.18151,0.0011719,0.0011719,0.0011719
32,99.7455,0.83985,1.44353,0.71328,1.04939,0.64326,0.65434,0.68227,0.46612,0.62796,0.60811,0.63285,0.36272,1.08435,2.09176,1.13007,1.22645,0.0011554,0.0011554,0.0011554
33,102.746,0.81707,1.52035,0.71987,1.03612,0.58781,0.63724,0.60176,0.42379,0.59932,0.627,0.57933,0.33884,1.03124,2.18598,1.22144,1.1911,0.00113889,0.00113889,0.00113889
34,105.709,0.78434,1.38995,0.68008,1.01632,0.66034,0.59614,0.61111,0.44485,0.67073,0.63207,0.60301,0.36054,0.93702,2.29916,1.12462,1.12609,0.00112239,0.00112239,0.00112239
35,108.943,0.80948,1.50728,0.69039,1.03528,0.75434,0.64214,0.71904,0.50925,0.73602,0.63088,0.65516,0.3899,0.9813,2.23568,1.00826,1.13711,0.00110589,0.00110589,0.00110589
36,112.02,0.78244,1.38583,0.68222,1.01761,0.60468,0.70054,0.64051,0.45846,0.64666,0.64622,0.60179,0.37504,0.95084,2.10499,0.96367,1.12948,0.00108938,0.00108938,0.00108938
37,115.005,0.77536,1.40078,0.67422,1.01829,0.60414,0.6887,0.60921,0.43541,0.58393,0.66665,0.57036,0.3486,0.97979,2.33306,1.02657,1.17516,0.00107288,0.00107288,0.00107288
38,118.027,0.77602,1.35333,0.65684,1.00816,0.63486,0.69536,0.68409,0.48372,0.62232,0.67826,0.63432,0.39635,0.92839,2.17606,0.94598,1.125,0.00105638,0.00105638,0.00105638
39,120.975,0.79471,1.45191,0.71547,1.03068,0.69725,0.61902,0.70306,0.51006,0.67239,0.59809,0.6466,0.40431,0.96364,2.20714,0.91701,1.17609,0.00103987,0.00103987,0.00103987
40,124.055,0.799,1.40068,0.68896,1.02857,0.79543,0.56874,0.70975,0.5038,0.6749,0.64402,0.67115,0.41104,0.96934,2.18249,0.96904,1.1431,0.00102337,0.00102337,0.00102337
41,127.105,0.74914,1.34461,0.63967,1.00573,0.66745,0.71271,0.70306,0.48815,0.70805,0.66602,0.67708,0.41073,1.04405,2.12993,0.94384,1.20937,0.00100687,0.00100687,0.00100687
42,130.09,0.77155,1.38401,0.6469,1.00602,0.65707,0.68591,0.71033,0.49976,0.72147,0.64229,0.68105,0.41999,1.0213,2.13471,0.92504,1.24036,0.000990365,0.000990365,0.000990365
43,133.157,0.73535,1.28162,0.63862,0.99745,0.66262,0.76501,0.76159,0.53855,0.68326,0.67137,0.69973,0.44445,0.97584,2.20944,0.86762,1.16124,0.000973861,0.000973861,0.000973861
44,136.271,0.78575,1.37516,0.67441,1.03226,0.63071,0.73581,0.6825,0.48371,0.6553,0.66128,0.64375,0.39643,0.95931,2.10238,0.96115,1.16026,0.000957358,0.000957358,0.000957358
45,139.48,0.75102,1.29313,0.62357,1.00288,0.70139,0.64661,0.673,0.49101,0.68998,0.61055,0.6267,0.40153,0.9081,2.14373,1.03492,1.12476,0.000940855,0.000940855,0.000940855
46,142.541,0.73864,1.31036,0.62271,0.99892,0.63275,0.68165,0.6869,0.49042,0.61184,0.64745,0.61857,0.40093,0.91648,2.1291,1.00691,1.109,0.000924352,0.000924352,0.000924352
47,145.493,0.7553,1.32544,0.60953,0.99619,0.72332,0.64229,0.70243,0.50946,0.68357,0.59522,0.63217,0.41829,0.93252,1.96617,0.91639,1.12179,0.000907848,0.000907848,0.000907848
48,148.462,0.7496,1.29296,0.61224,0.99253,0.66235,0.76979,0.7037,0.5144,0.637,0.73555,0.66923,0.42966,0.93005,2.04025,0.88624,1.12932,0.000891345,0.000891345,0.000891345
49,151.427,0.73809,1.20293,0.59049,0.99438,0.66961,0.66969,0.68128,0.5073,0.65969,0.63803,0.64378,0.42086,0.87173,2.24677,0.91451,1.11152,0.000874842,0.000874842,0.000874842
50,154.449,0.73351,1.35815,0.60124,1.00646,0.72579,0.70568,0.7198,0.49734,0.70592,0.67764,0.66112,0.40396,0.95679,2.38748,0.95667,1.18066,0.000858338,0.000858338,0.000858338
51,157.436,0.73894,1.32115,0.58877,1.00972,0.67215,0.72069,0.72593,0.51428,0.72052,0.64898,0.66917,0.4292,0.90165,2.15181,0.84323,1.11593,0.000841835,0.000841835,0.000841835
52,160.506,0.69971,1.22409,0.55278,0.97826,0.6712,0.68805,0.70221,0.51684,0.66913,0.68587,0.66144,0.42195,0.90549,2.11701,0.91459,1.14598,0.000825332,0.000825332,0.000825332
53,163.508,0.70073,1.24804,0.57347,0.97961,0.70167,0.70903,0.68533,0.51995,0.69725,0.67137,0.64257,0.42601,0.85379,2.05996,0.86863,1.09211,0.000808828,0.000808828,0.000808828
54,166.78,0.71732,1.34119,0.60306,0.98984,0.64113,0.73466,0.71774,0.5461,0.64104,0.6594,0.63954,0.43105,0.83278,2.04997,0.80917,1.07441,0.000792325,0.000792325,0.000792325
55,169.822,0.70512,1.26667,0.5837,0.9867,0.69533,0.71091,0.72515,0.52074,0.67997,0.65687,0.66766,0.42099,0.9214,2.14679,0.86719,1.13072,0.000775822,0.000775822,0.000775822
56,172.844,0.6905,1.23996,0.54545,0.97356,0.7154,0.72395,0.76096,0.5803,0.73791,0.6457,0.70443,0.46977,0.81528,2.0735,0.81511,1.05532,0.000759318,0.000759318,0.000759318
57,175.945,0.68769,1.24635,0.57127,0.9818,0.70034,0.73214,0.73657,0.55825,0.64446,0.6907,0.65288,0.44371,0.84487,2.06497,0.83983,1.05969,0.000742815,0.000742815,0.000742815
58,178.986,0.67669,1.16936,0.55259,0.96803,0.74146,0.64575,0.7029,0.53869,0.73832,0.62775,0.65019,0.43037,0.81424,1.88454,0.84422,1.04415,0.000726312,0.000726312,0.000726312
59,181.991,0.6884,1.23029,0.56841,0.96988,0.67028,0.74041,0.72988,0.551,0.63074,0.69073,0.64524,0.43599,0.85774,1.90866,0.82258,1.05124,0.000709809,0.000709809,0.000709809
60,185.037,0.6566,1.15051,0.52562,0.95445,0.76013,0.59013,0.72139,0.54044,0.677,0.60891,0.66078,0.42552,0.90989,2.11012,0.93909,1.099,0.000693305,0.000693305,0.000693305
61,188.081,0.65678,1.10062,0.52979,0.94373,0.76119,0.63661,0.7201,0.55726,0.71101,0.66112,0.67855,0.45278,0.83861,2.05586,0.81465,1.06956,0.000676802,0.000676802,0.000676802
62,190.98,0.68739,1.19585,0.55292,0.96639,0.73701,0.64114,0.69882,0.53927,0.73901,0.63544,0.67179,0.44214,0.83187,2.10551,0.83842,1.06885,0.000660299,0.000660299,0.000660299
