epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.868,1.27056,3.22724,2.63902,1.45947,0.58467,0.76642,0.70444,0.51674,0.5624,0.73723,0.65401,0.37749,0.76396,2.86994,5.93721,1.085,0.00012,0.00012,0.00012
2,277.808,0.95545,1.87219,1.5099,1.21426,0.67892,0.69455,0.65705,0.40161,0.72091,0.63504,0.62689,0.3936,1.08082,2.41018,1.97899,1.22221,0.00020852,0.00020852,0.00020852
3,416.094,0.85843,1.74987,1.20193,1.1159,0.74889,0.72993,0.74333,0.56356,0.71389,0.6921,0.68774,0.43732,0.79528,4.51723,1.46792,1.07317,0.0002416,0.0002416,0.0002416
4,550.755,0.83041,1.75705,1.02214,1.13211,0.75621,0.76984,0.78133,0.59065,0.76338,0.77714,0.77365,0.52639,0.81833,3.5253,1.40522,1.16435,0.00021924,0.00021924,0.00021924
5,695.697,0.8246,1.50903,0.97359,1.14109,0.8644,0.76642,0.84004,0.6633,0.8908,0.77409,0.83466,0.59461,0.75248,2.66507,0.98527,1.15917,0.00014144,0.00014144,0.00014144
