epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,70.6906,0.88077,1.57065,0.8882,1.04063,0.63516,0.67163,0.61485,0.43536,0.6034,0.67734,0.59491,0.36725,1.01263,2.16325,1.14276,1.20336,0.00120491,0.00120491,0.00120491
30,72.9977,0.89394,1.54893,0.93227,1.07347,0.55336,0.68117,0.59946,0.41994,0.54478,0.65859,0.55852,0.3482,1.01872,2.203,1.13663,1.19708,0.0011884,0.0011884,0.0011884
31,75.2854,0.8839,1.58838,0.95287,1.05639,0.54527,0.70053,0.57471,0.40419,0.53752,0.67589,0.52688,0.33353,1.03739,2.19997,1.19452,1.17774,0.0011719,0.0011719,0.0011719
32,77.6404,0.84882,1.49157,0.85248,1.02027,0.73503,0.64462,0.70611,0.4654,0.67913,0.60726,0.61227,0.37592,1.00842,1.99381,1.04183,1.13301,0.0011554,0.0011554,0.0011554
33,79.9071,0.86985,1.52042,0.88469,1.0324,0.63922,0.64148,0.66459,0.45865,0.64448,0.55889,0.58968,0.36859,1.01537,2.08635,1.11477,1.16052,0.00113889,0.00113889,0.00113889
34,82.1656,0.84142,1.48695,0.84188,1.03793,0.60459,0.64939,0.62729,0.44948,0.58995,0.60808,0.57032,0.36793,0.96043,1.98271,1.07079,1.12653,0.00112239,0.00112239,0.00112239
35,84.5496,0.83193,1.47826,0.84489,1.02792,0.6412,0.68952,0.67604,0.48801,0.65063,0.57262,0.62676,0.40705,0.95517,1.91972,0.94806,1.14192,0.00110589,0.00110589,0.00110589
36,86.8597,0.81809,1.5019,0.81205,1.01227,0.68279,0.62529,0.6802,0.48465,0.67205,0.59877,0.65373,0.41071,0.95072,1.94227,1.07645,1.11208,0.00108938,0.00108938,0.00108938
37,89.3534,0.82804,1.48285,0.87236,1.03114,0.56002,0.67647,0.61453,0.4394,0.54835,0.64938,0.57392,0.36022,0.96102,2.04784,1.05719,1.1524,0.00107288,0.00107288,0.00107288
38,91.7368,0.83931,1.46746,0.86807,1.01884,0.55444,0.59402,0.59575,0.40848,0.48863,0.59013,0.5192,0.31251,1.09446,2.26281,1.17871,1.27315,0.00105638,0.00105638,0.00105638
39,94.0498,0.80449,1.48569,0.82976,1.0235,0.63481,0.6571,0.64085,0.45585,0.60746,0.61964,0.56067,0.36798,0.97766,2.07739,1.06644,1.13847,0.00103987,0.00103987,0.00103987
40,96.3917,0.8386,1.51276,0.84876,1.04138,0.59645,0.65863,0.61649,0.45371,0.61441,0.60469,0.58155,0.37778,0.92637,1.98764,0.99617,1.10483,0.00102337,0.00102337,0.00102337
41,98.7599,0.82396,1.46819,0.78962,1.03023,0.61951,0.66027,0.65057,0.47931,0.63576,0.64546,0.61561,0.39153,0.92953,2.01145,0.99535,1.12349,0.00100687,0.00100687,0.00100687
42,101.104,0.82601,1.45565,0.80652,1.02469,0.61899,0.65943,0.6677,0.49006,0.60752,0.63646,0.61477,0.38294,0.89399,2.07163,0.93495,1.09638,0.000990365,0.000990365,0.000990365
43,103.418,0.82993,1.48565,0.79546,1.01774,0.59354,0.65683,0.60566,0.44586,0.56166,0.64846,0.56133,0.35873,0.92287,2.11857,0.96107,1.11114,0.000973861,0.000973861,0.000973861
44,105.949,0.8275,1.42088,0.80898,1.03237,0.5904,0.73042,0.61419,0.43263,0.5556,0.68163,0.55235,0.362,0.92571,1.91851,0.97545,1.09995,0.000957358,0.000957358,0.000957358
45,108.241,0.82607,1.43455,0.76938,1.0227,0.6136,0.69536,0.61042,0.44182,0.61057,0.67896,0.57474,0.36324,0.94347,1.96169,1.06849,1.11729,0.000940855,0.000940855,0.000940855
46,110.57,0.8235,1.47477,0.78785,1.02746,0.64251,0.64152,0.59073,0.4044,0.60804,0.56842,0.51274,0.31911,1.0343,2.12207,1.21102,1.17732,0.000924352,0.000924352,0.000924352
47,112.867,0.78628,1.33057,0.74644,0.98735,0.70253,0.67887,0.65685,0.48424,0.65622,0.62775,0.58251,0.37991,0.90999,2.02846,0.91668,1.14836,0.000907848,0.000907848,0.000907848
48,115.206,0.74108,1.35036,0.73433,0.99419,0.70031,0.67521,0.69299,0.49558,0.66258,0.63547,0.61304,0.40791,0.90202,1.95024,0.91095,1.13388,0.000891345,0.000891345,0.000891345
