epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4306,1.25627,3.15676,3.22815,1.34272,0.01432,0.59515,0.27401,0.19576,0.01327,0.51128,0.24869,0.14705,0.94933,2.7127,3.14943,1.08236,0.00020004,0.00020004,0.00020004
2,90.2887,1.09202,2.32236,2.55014,1.15623,0.01684,0.60541,0.23936,0.15178,0.01539,0.50014,0.20503,0.13225,1.12388,2.74135,3.09624,1.13663,0.000375492,0.000375492,0.000375492
3,133.697,1.1153,2.15233,2.08931,1.20174,0.01697,0.56087,0.33859,0.22635,0.01579,0.46329,0.31793,0.19777,1.0699,2.4465,2.93689,1.13271,0.000508035,0.000508035,0.000508035
4,176.842,1.08628,2.09659,1.75121,1.18209,0.84342,0.27179,0.3084,0.20794,0.83847,0.25385,0.27288,0.16149,1.1101,3.01398,2.89527,1.169,0.00059767,0.00059767,0.00059767
5,219.163,1.06071,1.92949,1.5762,1.16665,0.94428,0.21795,0.35805,0.24511,0.94528,0.21795,0.33609,0.20533,1.10104,2.62858,2.61837,1.17545,0.000644396,0.000644396,0.000644396
6,261.412,1.06245,1.92011,1.57927,1.15445,0.85272,0.29487,0.43878,0.2883,0.8234,0.26667,0.3638,0.19248,1.20425,3.54597,2.40468,1.28138,0.000648213,0.000648213,0.000648213
7,303.454,1.01604,1.83529,1.47447,1.11379,0.86858,0.29484,0.42206,0.28258,0.83973,0.27177,0.3588,0.17688,1.12152,3.08372,2.33367,1.23577,0.000609122,0.000609122,0.000609122
8,346.127,0.9711,1.82582,1.42679,1.08899,0.64092,0.46849,0.5463,0.36078,0.60395,0.436,0.49035,0.28176,1.08501,2.53746,1.90868,1.17395,0.000511769,0.000511769,0.000511769
9,388.249,0.94284,1.75717,1.33647,1.08826,0.66201,0.56783,0.59053,0.39487,0.64128,0.54387,0.53736,0.32142,1.04678,2.37658,1.69252,1.15128,0.000346736,0.000346736,0.000346736
10,436.053,0.90298,1.6079,1.25135,1.05412,0.64557,0.58731,0.62114,0.44204,0.61653,0.56592,0.58146,0.37127,0.98012,2.13669,1.51592,1.09542,0.000181703,0.000181703,0.000181703
