epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4211,1.45865,3.73579,3.30821,1.4454,0.01477,0.58915,0.2028,0.13324,0.01258,0.45824,0.16471,0.09264,1.01428,3.14761,2.98992,1.10699,0.00020004,0.00020004,0.00020004
2,5.97352,1.137,2.55366,2.64101,1.16267,0.01381,0.60537,0.29016,0.18801,0.01186,0.47959,0.22133,0.10925,1.03789,3.71758,2.87396,1.10648,0.000412624,0.000412624,0.000412624
3,8.5274,1.09219,2.30518,2.07121,1.1489,0.96133,0.09231,0.29394,0.19204,0.96133,0.09231,0.27725,0.14758,1.10596,3.45913,2.6115,1.24303,0.000620917,0.000620917,0.000620917
4,10.998,1.11336,2.15196,1.66143,1.19812,0.89654,0.19744,0.31627,0.20581,0.85019,0.17436,0.23252,0.10549,1.17362,4.11774,2.50573,1.29872,0.00082492,0.00082492,0.00082492
5,13.3537,1.15921,2.12298,1.54001,1.19409,0.79628,0.3,0.39879,0.25727,0.79314,0.28974,0.34191,0.18743,1.1816,3.1766,2.20095,1.25491,0.00102463,0.00102463,0.00102463
6,16.3351,1.11844,2.0868,1.44674,1.16199,0.47563,0.36333,0.29686,0.18225,0.43321,0.34866,0.24942,0.12285,1.24168,4.13082,2.06437,1.36553,0.00122005,0.00122005,0.00122005
7,18.6902,1.1107,2.12511,1.44829,1.13394,0.2838,0.36799,0.21981,0.13729,0.2481,0.32452,0.16824,0.07492,1.21844,4.01017,2.53075,1.29944,0.00141118,0.00141118,0.00141118
8,21.1213,1.11273,2.07239,1.39228,1.18603,0.43778,0.3745,0.3627,0.21382,0.4241,0.36032,0.31187,0.16455,1.32657,3.21817,1.94502,1.50812,0.00155148,0.00155148,0.00155148
9,23.5094,1.10147,1.97801,1.33938,1.16529,0.4867,0.35896,0.39109,0.24204,0.50681,0.34802,0.35927,0.19502,1.36951,3.09381,1.84342,1.49267,0.00153497,0.00153497,0.00153497
10,25.9231,1.08231,1.99131,1.31901,1.15293,0.49371,0.38629,0.43249,0.2584,0.42276,0.34797,0.33654,0.16129,1.32994,3.74088,1.6828,1.42138,0.00151847,0.00151847,0.00151847
11,28.3199,1.02299,1.83055,1.1967,1.1223,0.48324,0.51303,0.49859,0.27729,0.47179,0.49252,0.42926,0.22113,1.26022,2.81197,1.75543,1.44016,0.00150197,0.00150197,0.00150197
12,30.7472,1.02182,1.82356,1.2001,1.11744,0.39873,0.43955,0.40904,0.26648,0.39025,0.42757,0.36122,0.19873,1.31977,3.19166,1.84904,1.46881,0.00148546,0.00148546,0.00148546
13,33.1771,1.02032,1.88828,1.18274,1.11012,0.64277,0.42596,0.49437,0.31191,0.61869,0.40885,0.44417,0.23386,1.32667,3.39557,1.87668,1.4641,0.00146896,0.00146896,0.00146896
14,35.6335,1.00755,1.84967,1.14134,1.12151,0.55676,0.54478,0.52856,0.34453,0.5371,0.53024,0.49977,0.27399,1.1552,2.91714,1.87824,1.29665,0.00145246,0.00145246,0.00145246
15,38.3427,0.97727,1.82349,1.15419,1.11881,0.55181,0.53804,0.49576,0.3122,0.53132,0.51754,0.46124,0.23922,1.1408,2.59666,2.02862,1.28331,0.00143595,0.00143595,0.00143595
16,40.8318,0.98605,1.80262,1.12247,1.09387,0.43474,0.59694,0.47244,0.31042,0.42275,0.57182,0.43513,0.24729,1.07191,2.62352,1.59971,1.22184,0.00141945,0.00141945,0.00141945
17,43.2246,0.94535,1.73595,1.04076,1.0847,0.5848,0.60653,0.62586,0.43304,0.64486,0.54194,0.58771,0.34751,1.04995,2.30201,1.24066,1.19942,0.00140295,0.00140295,0.00140295
18,45.6377,0.90107,1.68155,1.04217,1.07989,0.55901,0.57475,0.5788,0.40155,0.58885,0.52469,0.53708,0.33677,1.03858,2.30795,1.26889,1.18483,0.00138644,0.00138644,0.00138644
19,47.9953,0.96661,1.7161,1.10054,1.11513,0.58093,0.62396,0.60256,0.40943,0.55657,0.60017,0.54975,0.33054,1.05518,2.27111,1.33426,1.199,0.00136994,0.00136994,0.00136994
20,50.4084,0.93945,1.66386,1.05874,1.07914,0.62634,0.5602,0.60375,0.4075,0.59271,0.58014,0.58296,0.33527,1.03604,2.27904,1.30015,1.16452,0.00135344,0.00135344,0.00135344
21,52.8107,0.91304,1.61807,0.98727,1.06512,0.59013,0.61324,0.62251,0.42476,0.59943,0.59517,0.60151,0.35263,1.01591,2.28009,1.1923,1.15648,0.00133693,0.00133693,0.00133693
22,55.2944,0.89275,1.68783,0.94034,1.04783,0.58654,0.66112,0.6708,0.46181,0.6893,0.54984,0.60742,0.37819,0.973,2.06541,1.17289,1.12567,0.00132043,0.00132043,0.00132043
23,57.758,0.87722,1.61586,0.94959,1.04804,0.65139,0.67573,0.69656,0.48208,0.60611,0.65174,0.64172,0.39067,0.97203,2.03383,1.1919,1.11362,0.00130393,0.00130393,0.00130393
24,60.4476,0.91684,1.64477,0.96263,1.04906,0.62661,0.615,0.66307,0.45467,0.5918,0.65272,0.63568,0.36849,0.98536,2.28209,1.26894,1.13989,0.00128742,0.00128742,0.00128742
