epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.568,1.16858,2.90824,2.14534,1.32513,0.60703,0.48751,0.52752,0.3618,0.57221,0.45759,0.45655,0.2713,0.96862,2.82397,2.11803,1.21452,0.00020004,0.00020004,0.00020004
2,548.852,0.89114,1.9021,1.19233,1.1207,0.52674,0.60025,0.56772,0.37049,0.60384,0.48482,0.51659,0.29037,1.06209,2.81602,1.71608,1.34374,0.000279223,0.000279223,0.000279223
3,819.71,0.90401,1.80896,1.06067,1.14578,0.50497,0.55863,0.50696,0.36748,0.45713,0.55767,0.44363,0.25488,0.99498,3.08998,2.20675,1.27604,0.000215376,0.000215376,0.000215376
