epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,106.323,0.83957,1.63876,0.81152,1.09064,0.60768,0.59526,0.58919,0.38834,0.54641,0.64229,0.55348,0.3283,1.10185,2.38598,1.20432,1.46817,0.00120491,0.00120491,0.00120491
30,109.912,0.86509,1.60601,0.82524,1.11811,0.54275,0.64917,0.5767,0.3905,0.51533,0.61665,0.53527,0.32804,1.15271,2.30596,1.22857,1.45494,0.0011884,0.0011884,0.0011884
31,113.396,0.85508,1.6414,0.74995,1.11674,0.60186,0.54995,0.54361,0.36767,0.58616,0.52926,0.51501,0.3051,1.03723,2.09531,1.40587,1.36108,0.0011719,0.0011719,0.0011719
32,116.894,0.82295,1.59347,0.721,1.0835,0.70111,0.54475,0.6166,0.42628,0.67289,0.52849,0.5648,0.35474,1.08079,2.06822,1.35173,1.41214,0.0011554,0.0011554,0.0011554
33,120.662,0.85661,1.52792,0.76223,1.0909,0.54631,0.65827,0.57458,0.39623,0.53266,0.63593,0.54536,0.32095,1.06563,2.0782,1.42021,1.38559,0.00113889,0.00113889,0.00113889
34,124.113,0.80196,1.46854,0.73119,1.08573,0.59324,0.62606,0.5425,0.36722,0.58183,0.61409,0.51765,0.30377,0.99108,1.97469,1.39699,1.32916,0.00112239,0.00112239,0.00112239
35,127.53,0.81776,1.53158,0.73633,1.08833,0.52904,0.61918,0.53897,0.36748,0.50051,0.66368,0.52769,0.30098,1.02279,2.04075,1.3187,1.41747,0.00110589,0.00110589,0.00110589
36,131,0.8408,1.5179,0.72366,1.09205,0.58806,0.73108,0.62624,0.42012,0.55838,0.73386,0.59797,0.36959,1.1445,2.14304,1.05499,1.53338,0.00108938,0.00108938,0.00108938
37,134.58,0.81957,1.49031,0.77623,1.09161,0.59536,0.68281,0.60648,0.4181,0.57459,0.65827,0.5638,0.34271,1.08771,2.21331,1.03079,1.44876,0.00107288,0.00107288,0.00107288
38,138.203,0.83697,1.49502,0.75775,1.07607,0.58744,0.71416,0.63583,0.45263,0.57532,0.67294,0.58746,0.38253,1.02704,1.99228,1.1334,1.3613,0.00105638,0.00105638,0.00105638
39,141.772,0.82463,1.52334,0.77543,1.11169,0.58317,0.73615,0.62246,0.42112,0.63924,0.63116,0.59126,0.36761,1.04871,2.00629,1.07845,1.36973,0.00103987,0.00103987,0.00103987
40,145.292,0.83371,1.53594,0.75447,1.11807,0.62726,0.69068,0.66029,0.48404,0.62016,0.6783,0.63508,0.42133,0.99273,2.06923,1.04792,1.37247,0.00102337,0.00102337,0.00102337
41,148.859,0.84655,1.49913,0.72457,1.1151,0.57357,0.65423,0.63507,0.45997,0.60866,0.63226,0.60729,0.38643,1.01488,2.18495,1.10938,1.41823,0.00100687,0.00100687,0.00100687
42,152.292,0.83342,1.54508,0.73304,1.10053,0.64127,0.62881,0.62879,0.44034,0.62598,0.61511,0.60199,0.36517,0.95309,2.04131,0.97571,1.34488,0.000990365,0.000990365,0.000990365
43,155.81,0.77949,1.41311,0.66587,1.05355,0.63722,0.65599,0.66174,0.4766,0.61787,0.64742,0.62871,0.39307,0.96193,2.10935,1.00726,1.40498,0.000973861,0.000973861,0.000973861
44,159.533,0.80205,1.44258,0.70514,1.10936,0.59473,0.71588,0.64845,0.46469,0.58581,0.66477,0.601,0.37739,0.98191,1.99035,1.04073,1.34757,0.000957358,0.000957358,0.000957358
45,163.056,0.75724,1.44714,0.66572,1.04712,0.71192,0.62344,0.69289,0.50433,0.71156,0.62016,0.64979,0.42793,0.96274,1.88738,0.9433,1.30848,0.000940855,0.000940855,0.000940855
46,166.725,0.78328,1.47391,0.68047,1.06912,0.64007,0.71868,0.68975,0.49564,0.765,0.56473,0.64093,0.40489,0.91637,2.09231,0.95078,1.24924,0.000924352,0.000924352,0.000924352
47,170.149,0.73997,1.32153,0.63179,1.01476,0.65251,0.70875,0.66786,0.48499,0.64107,0.66797,0.6313,0.39381,0.93377,2.04918,0.95029,1.31871,0.000907848,0.000907848,0.000907848
48,173.778,0.75609,1.41216,0.6359,1.05813,0.64656,0.6771,0.65876,0.49813,0.66141,0.62214,0.61126,0.3971,0.88741,1.99161,0.97746,1.27104,0.000891345,0.000891345,0.000891345
49,177.347,0.7634,1.42161,0.63617,1.03629,0.71886,0.56192,0.62352,0.4443,0.72111,0.56277,0.58881,0.36948,1.0062,2.10219,1.07131,1.40085,0.000874842,0.000874842,0.000874842
50,180.78,0.74308,1.3317,0.62834,1.03239,0.64738,0.64229,0.6402,0.46929,0.66056,0.60039,0.59951,0.39455,0.93032,1.98263,0.94184,1.33991,0.000858338,0.000858338,0.000858338
51,184.5,0.75211,1.33353,0.61765,1.06209,0.70556,0.64395,0.68686,0.49731,0.6925,0.58317,0.63249,0.42476,0.93729,1.95088,0.91848,1.32099,0.000841835,0.000841835,0.000841835
52,188.033,0.75054,1.27181,0.62327,1.0522,0.69076,0.65255,0.66574,0.51153,0.66454,0.62605,0.61798,0.41205,0.87682,1.9714,0.8937,1.27305,0.000825332,0.000825332,0.000825332
53,191.519,0.73141,1.33019,0.62093,1.02686,0.76235,0.67947,0.73401,0.54993,0.76305,0.61405,0.66843,0.45324,0.90059,1.88954,0.82877,1.27191,0.000808828,0.000808828,0.000808828
54,195.318,0.72326,1.23748,0.67779,1.05367,0.6843,0.66306,0.70537,0.53321,0.69542,0.61489,0.64277,0.43298,0.88144,1.9888,0.84483,1.2431,0.000792325,0.000792325,0.000792325
55,198.957,0.72426,1.34935,0.59022,1.01762,0.67083,0.68986,0.68496,0.52916,0.63021,0.65683,0.63399,0.42684,0.8612,2.02502,0.86775,1.23578,0.000775822,0.000775822,0.000775822
56,202.461,0.72296,1.35452,0.62783,1.03751,0.69087,0.67315,0.71068,0.54691,0.64538,0.65771,0.66359,0.45671,0.87208,1.78959,0.83082,1.25559,0.000759318,0.000759318,0.000759318
57,205.93,0.70761,1.27832,0.58114,1.00468,0.6783,0.73045,0.71332,0.5341,0.6738,0.68507,0.6415,0.42534,0.90239,1.84631,0.8768,1.32083,0.000742815,0.000742815,0.000742815
58,209.453,0.66678,1.28389,0.57501,1.00946,0.66242,0.76895,0.69324,0.50273,0.62689,0.71072,0.64593,0.41485,0.9415,1.92998,0.98882,1.36801,0.000726312,0.000726312,0.000726312
